treatment	variety	year	bloc	volume	concentration	plant	leaf	absorbance	dilution
T1	Mercia	2011	1	80	240	9	F1	0,468	2
T1	Mercia	2011	1	80	240	9	F2	0,378	2
T1	Mercia	2011	1	80	240	9	F3	0,821	1
T1	Mercia	2011	1	80	240	9	F4	0,452	1
T1	Mercia	2011	1	80	240	10	F1	0,385	4
T1	Mercia	2011	1	80	240	10	F2	0,362	4
T1	Mercia	2011	1	80	240	10	F3	0,468	1
T1	Mercia	2011	1	80	240	11	F1	0,45	4
T1	Mercia	2011	1	80	240	11	F2	0,592	2
T1	Mercia	2011	1	80	240	11	F3	0,392	1
T1	Mercia	2011	1	80	240	12	F1	0,889	1
T1	Mercia	2011	1	80	240	12	F2	0,526	2
T1	Mercia	2011	1	80	240	12	F3	0,363	1
T1	Mercia	2011	1	80	240	12	F4	0,383	1
T1	Mercia	2011	1	80	240	13	F1	0,509	1
T1	Mercia	2011	1	80	240	13	F2	0,709	1
T1	Mercia	2011	1	80	240	13	F3	0,413	1
T1	Mercia	2011	1	80	240	13	F4	0,318	1
T1	Mercia	2011	1	80	240	14	F1	0,437	2
T1	Mercia	2011	1	80	240	14	F2	0,862	2
T1	Mercia	2011	1	80	240	14	F3	0,619	1
T1	Mercia	2011	1	80	240	14	F4	0,383	1
T1	Mercia	2011	1	80	240	15	F1	0,846	1
T1	Mercia	2011	1	80	240	15	F2	0,678	1
T1	Mercia	2011	1	80	240	15	F3	0,566	1
T1	Mercia	2011	1	80	240	16	F1	0,566	2
T1	Mercia	2011	1	80	240	16	F2	0,278	2
T1	Mercia	2011	1	80	240	16	F3	0,266	1
T1	Mercia	2011	1	80	240	16	F4	0,453	1
T1	Mercia	2011	1	80	240	17	F1	0,368	2
T1	Mercia	2011	1	80	240	17	F2	0,34	2
T1	Mercia	2011	1	80	240	17	F3	0,277	1
T1	Mercia	2011	1	80	240	17	F4	0,269	1
T1	Mercia	2011	1	80	240	18	F1	0,259	4
T1	Mercia	2011	1	80	240	18	F2	0,45	4
T1	Mercia	2011	1	80	240	18	F3	0,349	4
