"Date","label","N","nff","HS","SSI","GL"
"11/04/2012","Tremie12",19,NA,11.586739337218,7.45185923627688,4.1348801009411
"11/04/2012","Tremie12",30,NA,11.5005242221584,NA,NA
"11/04/2012","Tremie12",3,NA,11.3530172459499,7.27879933487936,4.07421791107052
"11/04/2012","Tremie12",28,NA,10.583676387874,6.39086926435982,4.19280712351419
"11/04/2012","Tremie12",24,NA,11.0852481993135,NA,NA
"11/04/2012","Tremie12",18,NA,11.5862765023714,7.51667393077873,4.0696025715927
"11/04/2012","Tremie12",4,NA,11.6893098202849,8.03084220208125,3.65846761820363
"11/04/2012","Tremie12",13,NA,10.9140800368582,NA,NA
"11/04/2012","Tremie12",23,NA,11.8561740880892,7.46548567487687,4.39068841321233
"11/04/2012","Tremie12",15,NA,11.6650375377312,7.23660674027166,4.42843079745955
"11/04/2012","Tremie12",14,NA,10.4087905369894,6.56173345847933,3.8470570785101
"11/04/2012","Tremie12",22,NA,10.8768218141418,6.72091558084524,4.15590623329652
"12/06/2012","Tremie12",1,13,13,11.9,1.1
"12/06/2012","Tremie12",2,13,13,11.2,1.8
"12/06/2012","Tremie12",3,13,13,10.9,2.1
"12/06/2012","Tremie12",4,13,13,11,2
"12/06/2012","Tremie12",5,13,13,11.8,1.2
"12/06/2012","Tremie12",6,13,13,11,2
"12/06/2012","Tremie12",7,13,13,11,2
"12/06/2012","Tremie12",8,13,13,11,2
"12/06/2012","Tremie12",9,13,13,11,2
"12/06/2012","Tremie12",10,13,13,11.2,1.8
"12/06/2012","Tremie12",11,13,13,11,2
"12/06/2012","Tremie12",12,13,13,10.6,2.4
"12/06/2012","Tremie12",13,13,13,11,2
"12/06/2012","Tremie12",14,13,13,11.7,1.3
"12/06/2012","Tremie12",15,13,13,11.8,1.2
"12/06/2012","Tremie12",16,13,13,11.2,1.8
"12/06/2012","Tremie12",17,13,13,11.2,1.8
"12/06/2012","Tremie12",18,13,13,11.2,1.8
"12/06/2012","Tremie12",19,13,13,11.8,1.2
"12/06/2012","Tremie12",20,13,13,11.3,1.7
"12/06/2012","Tremie12",21,13,13,11.2,1.8
"12/06/2012","Tremie12",22,13,13,11.2,1.8
"12/06/2012","Tremie12",23,13,13,11.1,1.9
"12/06/2012","Tremie12",24,13,13,11.2,1.8
"12/06/2012","Tremie12",25,13,13,11.5,1.5
"12/06/2012","Tremie12",26,13,13,11.2,1.8
"12/06/2012","Tremie12",27,13,13,11.4,1.6
"12/06/2012","Tremie12",28,13,13,11.9,1.1
"12/06/2012","Tremie12",29,13,13,11.6,1.4
"12/06/2012","Tremie12",30,13,13,11.7,1.3
"03/05/2013","Tremie13",2,NA,9.52551817293353,6.37178552919,3.15373264374353
"03/05/2013","Tremie13",3,NA,9.64443012961666,6.4798756876,3.16455444201666
"03/05/2013","Tremie13",1,NA,9.78275142261299,6.37037835094,3.41237307167299
"03/05/2013","Tremie13",4,NA,10.5015294946657,7.4420924982,3.05943699646566
"03/05/2013","Tremie13",9,NA,9.84269782341358,6.8749644392,2.96773338421358
"03/05/2013","Tremie13",5,NA,9.66026603278389,6.99087917702,2.66938685576389
"03/05/2013","Tremie13",12,NA,9.59114110760632,6.5178933879,3.07324771970632
"03/05/2013","Tremie13",6,NA,9.73477706508939,7.3099341679,2.42484289718939
"03/05/2013","Tremie13",13,NA,9.8208994480088,6.9911462188,2.8297532292088
"03/05/2013","Tremie13",7,NA,9.85878942465903,7.2215379693,2.63725145535903
"03/05/2013","Tremie13",14,NA,9.74884189615289,7.2581489383,2.49069295785289
"03/05/2013","Tremie13",8,NA,9.59200248884724,6.3135159392,3.27848654964724
"03/05/2013","Tremie13",15,NA,9.51457035426173,6.7578195341,2.75675082016173
"03/05/2013","Tremie13",22,NA,9.58158553376053,6.2184769916,3.36310854216053
"03/05/2013","Tremie13",16,NA,9.78452175044979,6.342310599,3.44221115144979
"03/05/2013","Tremie13",10,NA,9.41675756564173,6.3408817662,3.07587579944173
"03/05/2013","Tremie13",17,NA,9.87418602890831,7.192521932,2.68166409690831
"03/05/2013","Tremie13",11,NA,10.5462217195188,6.9670836886,3.57913803091883
"03/05/2013","Tremie13",18,NA,9.78966559806644,6.8082934837,2.98137211436644
"03/05/2013","Tremie13",25,NA,10.6729634317467,7.5875749606,3.08538847114666
"03/05/2013","Tremie13",19,NA,9.82995869171965,7.0742954914,2.75566320031965
"03/05/2013","Tremie13",26,NA,10.6739517279791,6.8551495971,3.81880213087912
"03/05/2013","Tremie13",20,NA,10.7993631540554,7.033239507,3.76612364705543
"03/05/2013","Tremie13",27,NA,9.89647972756582,7.050244563,2.84623516456582
"03/05/2013","Tremie13",21,NA,9.84639475206919,6.7062156038,3.14017914826919
"03/05/2013","Tremie13",28,NA,10.4861286125541,7.2725741943,3.21355441825413
"03/05/2013","Tremie13",29,NA,9.66919607310031,7.1503981797,2.51879789340031
"03/05/2013","Tremie13",30,NA,10.6051111857629,7.3513274603,3.25378372546293
"03/05/2013","Tremie13",23,NA,9.4897776468124,6.5673434961,2.9224341507124
"03/05/2013","Tremie13",31,NA,9.89766136402129,6.9371273688,2.96053399522129
"03/05/2013","Tremie13",24,NA,9.97274029166229,7.0862875992,2.88645269246229
"03/05/2013","Tremie13",32,NA,9.85274529687632,6.5081348756,3.34461042127632
"03/05/2013","Tremie13",39,NA,9.68927759516196,6.323399517,3.36587807816196
"03/05/2013","Tremie13",33,NA,10.6384479897246,7.0059883061,3.63245968362461
"03/05/2013","Tremie13",40,NA,9.30468306467766,6.1409629447,3.16372011997766
"03/05/2013","Tremie13",34,NA,9.62186688338112,6.3541697772,3.26769710618112
"03/05/2013","Tremie13",41,NA,9.76899367036408,6.1788401687,3.59015350166408
"03/05/2013","Tremie13",35,NA,9.48565092111382,6.1720419318,3.31360898931382
"03/05/2013","Tremie13",42,NA,9.67616847458704,6.2010469257,3.47512154888704
"03/05/2013","Tremie13",36,NA,9.62189561747063,6.344194329,3.27770128847063
"03/05/2013","Tremie13",43,NA,9.73450121469727,6.7784557411,2.95604547359727
"03/05/2013","Tremie13",37,NA,9.56888593316241,NA,NA
"03/05/2013","Tremie13",44,NA,9.89474398688004,6.2363935716,3.65835041528004
"03/05/2013","Tremie13",38,NA,9.55861317167932,NA,NA
"03/05/2013","Tremie13",45,NA,9.85329957580501,NA,NA
"22/04/2013","Tremie13",1,NA,NA,5.7720670544,NA
"22/04/2013","Tremie13",15,NA,8.80187644998525,5.9719926856,2.82988376438525
"22/04/2013","Tremie13",9,NA,8.39993540740773,5.347408934,3.05252647340773
"22/04/2013","Tremie13",3,NA,8.92122656343491,5.4571034084,3.46412315503491
"22/04/2013","Tremie13",10,NA,8.33931120483599,5.3054417404,3.03386946443599
"22/04/2013","Tremie13",4,NA,8.3136766205675,5.3894091617,2.9242674588675
"22/04/2013","Tremie13",11,NA,8.74733452561581,5.8123868475,2.93494767811581
"22/04/2013","Tremie13",5,NA,8.82483043895629,5.9477717065,2.87705873245629
"22/04/2013","Tremie13",12,NA,8.71406869730176,6.122024374,2.59204432330175
"22/04/2013","Tremie13",6,NA,8.90983092288013,6.13832694952,2.77150397336013
"22/04/2013","Tremie13",13,NA,8.60739687472736,5.6766994476,2.93069742712736
