date,num_plant,axis,degree_days,num_leaf_bottom,area,green_area,senesced_area,length,green_length,senesced_length,height,min_height,max_height,fnl,num_leaf_top,cur_max_leaf_top,cur_num_leaf_top,HS,nb_axis
2012-11-12 08:00:00,1.0,MS,101.0,1.0,0.6982084084577814,0.6982084084577814,0.0,2.65083566637505,2.65083566637505,0.0,0.7914019295013944,0.2281015353430865,1.3547023236597024,11.0,11.0,11.0,1.0,-1.41,1.0
2012-11-12 08:00:00,2.0,MS,101.0,1.0,0.6249632142934282,0.6249632142934282,0.0,2.469596497871601,2.469596497871601,0.0,0.6865129004084899,0.12744558193197178,1.245580218885008,11.0,11.0,11.0,1.0,-1.41,1.0
2012-11-12 08:00:00,3.0,MS,101.0,1.0,0.5546822485405577,0.5546822485405577,0.0,2.2883573293681554,2.2883573293681554,0.0,0.9785285560177601,0.9785285560177601,0.9785285560177601,11.0,11.0,11.0,1.0,-1.41,1.0
2012-11-16 23:00:00,1.0,MS,121.0,1.0,1.2354153481674643,1.2354153481674643,0.0,3.8421539573990726,3.8421539573990726,0.0,1.7292630434932685,0.6450601236873313,2.8134659632992056,11.0,11.0,11.0,1.0,-1.19,1.0
2012-11-16 23:00:00,2.0,MS,121.0,1.0,1.1500285523375702,1.1500285523375702,0.0,3.660914788895622,3.660914788895622,0.0,1.6139006729178982,0.5627797698483475,2.6650215759874487,11.0,11.0,11.0,1.0,-1.19,1.0
2012-11-16 23:00:00,3.0,MS,121.0,1.0,1.065441990447596,1.065441990447596,0.0,3.4796756203921775,3.4796756203921775,0.0,1.462974805585176,0.49924109757005836,2.4267085136002935,11.0,11.0,11.0,1.0,-1.19,1.0
2012-11-16 23:00:00,4.0,MS,121.0,1.0,0.9952522064219403,0.9952522064219403,0.0,3.328642979972621,3.328642979972621,0.0,1.2051671936012238,0.4776268314877542,1.9327075557146933,11.0,11.0,11.0,1.0,-1.19,1.0
2012-11-16 23:00:00,5.0,MS,121.0,1.0,0.9443699973354581,0.9443699973354581,0.0,3.207574726411016,3.207574726411016,0.0,1.1457213105005497,0.43841646754029084,1.8530261534608083,12.0,12.0,12.0,1.0,-1.19,1.0
2012-11-16 23:00:00,6.0,MS,121.0,1.0,0.8952035353747961,0.8952035353747961,0.0,3.09827666763319,3.09827666763319,0.0,1.097402811158053,0.4404443082832736,1.7543613140328322,12.0,12.0,12.0,1.0,-1.19,1.0
2012-11-16 23:00:00,7.0,MS,121.0,1.0,0.8996149369725044,0.8996149369725044,0.0,3.117197283385288,3.117197283385288,0.0,1.1018886402107322,0.4427644795114447,1.7610128009100194,11.0,11.0,11.0,1.0,-1.19,1.0
2012-11-16 23:00:00,8.0,MS,121.0,1.0,0.8534654807277166,0.8534654807277166,0.0,3.004592617252242,3.004592617252242,0.0,1.0959381628983826,0.3625102065418565,1.8293661192549087,12.0,12.0,12.0,1.0,-1.19,1.0
2012-11-16 23:00:00,9.0,MS,121.0,1.0,0.8327056106122046,0.8327056106122046,0.0,2.966164642965731,2.966164642965731,0.0,1.0709739312557591,0.34221356089359767,1.7997343016179208,11.0,11.0,11.0,1.0,-1.19,1.0
2012-11-16 23:00:00,10.0,MS,121.0,1.0,0.7786390500311021,0.7786390500311021,0.0,2.8328385248871593,2.8328385248871593,0.0,0.9899571128864085,0.2770518724568274,1.7028623533159897,12.0,12.0,12.0,1.0,-1.19,1.0
2012-11-16 23:00:00,11.0,MS,121.0,1.0,0.7318321690881446,0.7318321690881446,0.0,2.7235404661093963,2.7235404661093963,0.0,0.8249748730978341,0.24992890372026758,1.4000208424754006,12.0,12.0,12.0,1.0,-1.19,1.0
2012-11-16 23:00:00,12.0,MS,121.0,1.0,0.7415317126307243,0.7415317126307243,0.0,2.754718946378399,2.754718946378399,0.0,0.8350421863136129,0.253714628115772,1.4163697445114538,11.0,11.0,11.0,1.0,-1.19,1.0
2012-11-16 23:00:00,13.0,MS,121.0,1.0,0.7225156950464446,0.7225156950464446,0.0,2.7094091542525076,2.7094091542525076,0.0,0.8157721782955685,0.2427301440357862,1.3888142125553506,11.0,11.0,11.0,1.0,-1.19,1.0
2012-11-16 23:00:00,14.0,MS,121.0,1.0,0.6850410829366093,0.6850410829366093,0.0,2.6187895700007857,2.6187895700007857,0.0,0.7783488257287423,0.22017707283399135,1.3365205786234933,11.0,11.0,11.0,1.0,-1.19,1.0
2012-11-16 23:00:00,15.0,MS,121.0,1.0,0.6665824884110529,0.6665824884110529,0.0,2.5734797778749545,2.5734797778749545,0.0,0.759587742126892,0.20887864494606004,1.310296839307724,11.0,11.0,11.0,1.0,-1.19,1.0
2012-11-16 23:00:00,16.0,MS,121.0,1.0,0.6483097015717051,0.6483097015717051,0.0,2.528169985749064,2.528169985749064,0.0,0.7398123372381588,0.19789858655799303,1.2817260879183245,11.0,11.0,11.0,1.0,-1.19,1.0
2012-11-16 23:00:00,17.0,MS,121.0,1.0,0.6123215509517312,0.6123215509517312,0.0,2.437550401497341,2.437550401497341,0.0,0.669913565889133,0.11130974959361056,1.2285173821846553,11.0,11.0,11.0,1.0,-1.19,1.0
2012-11-16 23:00:00,18.0,MS,121.0,1.0,0.59462841308344,0.59462841308344,0.0,2.392240609371509,2.392240609371509,0.0,0.6447034734930783,0.08964099644607207,1.1997659505400846,11.0,11.0,11.0,1.0,-1.19,1.0
2012-11-16 23:00:00,19.0,MS,121.0,1.0,0.5446410334235884,0.5446410334235884,0.0,2.255120214204654,2.255120214204654,0.0,0.6897120059334781,0.6897120059334781,0.6897120059334781,12.0,12.0,12.0,1.0,-1.19,1.0
2012-11-16 23:00:00,20.0,MS,121.0,1.0,0.542543077872803,0.542543077872803,0.0,2.2563112329938964,2.2563112329938964,0.0,0.6906382857957541,0.6906382857957541,0.6906382857957541,11.0,11.0,11.0,1.0,-1.19,1.0
2012-11-16 23:00:00,21.0,MS,121.0,1.0,0.5255294200143669,0.5255294200143669,0.0,2.2110014408680048,2.2110014408680048,0.0,0.6780094175614421,0.6780094175614421,0.6780094175614421,11.0,11.0,11.0,1.0,-1.19,1.0
2012-11-19 11:00:00,1.0,MS,141.0,1.0,1.793127796833413,1.793127796833413,0.0,5.021886906052279,5.021886906052279,0.0,1.8301063033405105,0.30702000036531846,3.4820566518395646,11.0,11.0,11.0,1.0,-0.97,1.0
2012-11-19 11:00:00,2.0,MS,141.0,1.0,1.7079400848037156,1.7079400848037156,0.0,4.840647737548827,4.840647737548827,0.0,1.6749515964548272,0.20031810755109758,3.2790475633872163,11.0,11.0,11.0,1.0,-0.97,1.0
2012-11-19 11:00:00,3.0,MS,141.0,1.0,1.6224859190719976,1.6224859190719976,0.0,4.659408569045384,4.659408569045384,0.0,1.5968511371112522,0.07054815675554492,3.4845858385420785,11.0,11.0,11.0,1.0,-0.97,1.0
2012-11-19 11:00:00,4.0,MS,141.0,1.0,1.551101838631316,1.551101838631316,0.0,4.508375928625828,4.508375928625828,0.0,2.2692228014889757,1.1443184811294898,3.394127121848462,11.0,11.0,11.0,1.0,-0.97,1.0
2012-11-19 11:00:00,5.0,MS,141.0,1.0,1.517615182606711,1.517615182606711,0.0,4.4272024913176,4.4272024913176,0.0,2.139449282183009,1.1010649227431586,3.1778336416228594,12.0,12.0,12.0,1.0,-0.97,1.0
2012-11-19 11:00:00,6.0,MS,141.0,1.0,1.4658340187503018,1.4658340187503018,0.0,4.317904432539774,4.317904432539774,0.0,1.9832420254466077,1.0207971760225487,2.9456868748706664,12.0,12.0,12.0,1.0,-0.97,1.0
2012-11-19 11:00:00,7.0,MS,141.0,1.0,1.4511030083605077,1.4511030083605077,0.0,4.296930232038495,4.296930232038495,0.0,1.989960587188618,0.9861225200909903,2.9937986542862456,11.0,11.0,11.0,1.0,-0.97,1.0
2012-11-19 11:00:00,8.0,MS,141.0,1.0,1.4214430797612518,1.4214430797612518,0.0,4.224220382158826,4.224220382158826,0.0,1.9523863617137558,0.9480817006702299,2.9566910227572816,12.0,12.0,12.0,1.0,-0.97,1.0
2012-11-19 11:00:00,9.0,MS,141.0,1.0,1.3795281147820064,1.3795281147820064,0.0,4.145897591618938,4.145897591618938,0.0,1.95091847868607,0.9118838295268163,2.9899531278453235,11.0,11.0,11.0,1.0,-0.97,1.0
2012-11-19 11:00:00,10.0,MS,141.0,1.0,1.3397077255739132,1.3397077255739132,0.0,4.052466289793744,4.052466289793744,0.0,1.850956044059336,0.7500958541380546,2.9518162339806175,12.0,12.0,12.0,1.0,-0.97,1.0
2012-11-19 11:00:00,11.0,MS,141.0,1.0,1.2879070742624843,1.2879070742624843,0.0,3.9431682310159806,3.9431682310159806,0.0,1.6688044245704958,0.6643438410422127,2.673265008098779,12.0,12.0,12.0,1.0,-0.97,1.0
2012-11-19 11:00:00,12.0,MS,141.0,1.0,1.2790103044089256,1.2790103044089256,0.0,3.9344518950316045,3.9344518950316045,0.0,1.704216442527508,0.6407587804896914,2.7676741045653244,11.0,11.0,11.0,1.0,-0.97,1.0
